Country,Part of Europe,2019,2020,2021,City,Smart_Mobility,Smart_Environment,Smart_Government,Smart_Economy,Smart_People,Smart_Living,SmartCity_Index
Luxembourg,West,17282163,17407585,17475415,Luxembourg,7540,5558,8528,8095,7098,7280,7311
Netherlands,West,5328212,5367580,5391369,Amsterdam,6480,6512,7516,4565,8618,9090,7138
Norway,North,5328212,5367580,5391369,Oslo,6302,7046,6878,5070,7734,9090,7051
Denmark,North,5806081,5822763,5840045,Copenaghen,6205,8184,7595,5135,6377,7200,6776
Austria,Central,8858775,8901064,8932664,Vienna,5683,7608,6232,5415,8580,7500,6771
Switzerland,Central,8544527,8606033,8670300,Zurich,5326,8775,5591,6265,6425,7960,6707
Sweden,North,10230185,10327589,10379295,Stockholm,5127,8100,7863,5518,6132,7730,6658
Finland,North,5517919,5525292,5533793,Helsinki,4912,6535,6148,8055,5980,5710,6643
France,West,67290471,67485531,67656682,Lyon,5969,7293,5934,7398,5400,6750,6453
Hungary,Central,356991,364134,368792,Budapest,3785,6340,7604,9225,7285,4780,6124
Germany,Central,83019213,83166711,83155031,Berlin,5983,7204,5773,6480,5486,5456,6058
United Kingdom,North,66647112,67025542,,London,6636,6950,4333,6570,5757,4550,5862
Iceland,North,4904240,4964440,5006324,Reykjavik,3333,6494,4784,7775,5425,7430,5722
Estonia,North,1324820,1328976,1330068,Tallinn,3880,3282,7640,7585,4955,7810,5681
Ireland,North,59816673,59641488,59236213,Dublin,5512,6696,5554,5490,6185,3950,5503
Latvia,North,1919968,1907675,1893223,Riga,3949,5837,6435,7910,4234,5575,5483
Belgium,West,11455519,11522440,11554767,Brussels,4447,5950,6110,5905,6680,4250,5379
Italy,South,59816673,59641488,59236213,Rome,4516,7131,5203,6587,4507,3950,5216
Spain,South,46937060,47332614,47398695,Madrid,6151,5605,5118,5240,5725,2740,5094
Slovakia,Central,2080908,2095861,2108977,Ljubljana,4540,4502,5490,7190,5503,4180,5089
Portugal,South,10276617,10295909,10298252,Lisbon,4605,4482,5852,6795,4522,3650,4860
