country,year,population trend,population,crime trend line,crime_index
Albania,2013,-0.0238,-0.024285738,-0.544,-0.547036992
Albania,2014,-0.0242,-0.02434001,-0.5444,-0.547036992
Albania,2015,-0.0246,-0.024820593,-0.5448,-0.547036992
Albania,2016,-0.025,-0.026238744,-0.5452,-0.547036992
Albania,2017,-0.0254,-0.02183288,-0.5456,-0.535129948
Albania,2018,-0.0258,-0.024690419,-0.546,-0.518460086
Albania,2019,-0.0262,-0.025331457,-0.5464,-0.580376715
Albania,2020,-0.0266,-0.028703794,-0.5468,-0.542274174
Austria,2013,0.0058,-0.00502429,-0.5339,-0.57085108
Austria,2014,0.0047,-0.000231443,-0.543,-0.504171633
Austria,2015,0.0036,0.008111501,-0.5521,-0.556562627
Austria,2016,0.0025,0.023215243,-0.5612,-0.539892765
Austria,2017,0.0014,0.006245016,-0.5703,-0.594665168
Austria,2018,0.0003,-0.002797171,-0.5794,-0.573232489
Austria,2019,-0.0008,-0.007868064,-0.5885,-0.566088262
Austria,2020,-0.0019,-0.005594539,-0.5976,-0.620860665
Belgium,2013,-0.001,0.002190741,-0.5309,-0.456543457
Belgium,2014,-0.0008,-0.005367619,-0.5391,-0.594665168
Belgium,2015,-0.0006,-3.17E-05,-0.5473,-0.554181218
Belgium,2016,-0.0004,0.006814872,-0.5555,-0.618479256
Belgium,2017,-0.0002,-0.006254848,-0.5637,-0.554181218
Belgium,2018,0,-0.003796091,-0.5719,-0.575613897
Belgium,2019,0.0002,0.000163406,-0.5801,-0.48988318
Belgium,2020,0.0004,0.00409262,-0.5883,-0.6303863
Bulgaria,2013,-0.0387,-0.039007609,-0.543,-0.501790224
Bulgaria,2014,-0.0393,-0.037514342,-0.5521,-0.511315859
Bulgaria,2015,-0.0399,-0.039324982,-0.5612,-0.635149118
Bulgaria,2016,-0.0405,-0.041265796,-0.5703,-0.592283759
Bulgaria,2017,-0.0411,-0.042646586,-0.5794,-0.587520942
Bulgaria,2018,-0.0417,-0.042607258,-0.5885,-0.616097847
Bulgaria,2019,-0.0423,-0.041887565,-0.5976,-0.597046577
Bulgaria,2020,-0.0429,-0.041322035,-0.6067,-0.558944036
Croatia,2013,-0.03,-0.027670266,-0.5537,-0.582758124
Croatia,2014,-0.0309,-0.028255067,-0.5513,-0.539892765
Croatia,2015,-0.0318,-0.03067843,-0.549,-0.532748539
Croatia,2016,-0.0327,-0.035851574,-0.5466,-0.525604312
Croatia,2017,-0.0336,-0.036563009,-0.5443,-0.554181218
Croatia,2018,-0.0345,-0.041386138,-0.5419,-0.544655583
Croatia,2019,-0.0354,-0.033727887,-0.5396,-0.537511356
Croatia,2020,-0.0363,-0.029336574,-0.5372,-0.547036992
Cyprus,2013,-0.0246,-0.020704966,-0.6129,-0.575613897
Cyprus,2014,-0.0236,-0.025323985,-0.6058,-0.635149118
Cyprus,2015,-0.0226,-0.026548645,-0.5987,-0.43034796
Cyprus,2016,-0.0216,-0.021710178,-0.5915,-0.823280414
Cyprus,2017,-0.0206,-0.019676157,-0.5844,-0.466069092
Cyprus,2018,-0.0196,-0.018515602,-0.5773,-0.447017821
Cyprus,2019,-0.0186,-0.017638991,-0.5702,-0.625623483
Cyprus,2020,-0.0176,-0.01746477,-0.5631,-0.420822324
Czechia,2013,-0.0208,-0.018025581,-0.5403,-0.480357545
Czechia,2014,-0.0186,-0.02368324,-0.5486,-0.597046577
Czechia,2015,-0.0164,-0.012057233,-0.5569,-0.568469671
Czechia,2016,-0.0142,-0.016103251,-0.5652,-0.563706853
Czechia,2017,-0.012,-0.012402922,-0.5734,-0.620860665
Czechia,2018,-0.0098,-0.009941805,-0.5817,-0.558944036
