Country,Part of Europe,City,Smart_Mobility,Smart_Environment,Smart_Government,Smart_Economy,Smart_People,Smart_Living,SmartCity_Index,crime_index
Luxembourg,West,Luxembourg,0.9999999999999999,0.414345530675405,1.0000000000000002,0.7575107296137339,0.6532846715328466,0.7149606299212597,1.0,0.808
Netherlands,West,Amsterdam,0.7480389826479675,0.5880211177862734,0.7587604290822407,0.0,1.0,0.9999999999999999,0.9294165646674828,0.608
Norway,North,Oslo,0.705728547658664,0.6852357545967594,0.6066746126340883,0.10836909871244627,0.7983576642335766,0.9999999999999999,0.8939208486332109,0.06400000000000006
Denmark,North,Copenaghen,0.6826717375802233,0.8924085199344619,0.7775923718712754,0.12231759656652363,0.48882299270072993,0.7023622047244095,0.78172174622603,0.20800000000000002
Austria,Central,Vienna,0.5585928214879962,0.7875477880939378,0.45268176400476756,0.18240343347639476,0.9913321167883211,0.7496062992125984,0.7796817625458994,0.09599999999999997
Switzerland,Central,Zurich,0.47373425243641554,0.9999999999999999,0.299880810488677,0.36480686695278963,0.499771897810219,0.8220472440944883,0.7535699714402284,0.24000000000000005
Sweden,North,Stockholm,0.4264321369146661,0.8771163298743855,0.8414779499404053,0.2045064377682403,0.4329379562043796,0.7858267716535433,0.7335781313749488,0.6000000000000001
Finland,North,Helsinki,0.3753268362253387,0.5922082650646278,0.432657926102503,0.7489270386266095,0.39826642335766427,0.4677165354330709,0.7274581803345574,0.23199999999999998
France,West,Lyon,0.6265747563584502,0.730202075368651,0.3816448152562575,0.60793991416309,0.26596715328467146,0.6314960629921259,0.6499388004895961,1.0
Hungary,Central,Budapest,0.10743998098407415,0.5567085381394502,0.7797377830750893,0.9999999999999999,0.6959397810218979,0.3212598425196851,0.5157078743370054,0.16800000000000004
Germany,Central,Berlin,0.6299025433800808,0.7139996359002366,0.34326579261025025,0.4109442060085836,0.28558394160583944,0.42771653543307087,0.488780089759282,0.18400000000000005
United Kingdom,North,London,0.7851200380318516,0.6677589659566722,0.0,0.4302575107296137,0.3473996350364963,0.28503937007874014,0.40881272949816383,0.8560000000000001
Iceland,North,Reykjavik,0.0,0.584744219916257,0.10750893921334925,0.6888412017167381,0.2716697080291972,0.7385826771653544,0.3516931864545083,0.040000000000000036
Estonia,North,Tallinn,0.13002139291656756,0.0,0.7883194278903458,0.6480686695278969,0.16446167883211693,0.7984251968503936,0.33496532027743786,0.21599999999999997
Ireland,North,Dublin,0.5179462800095079,0.6215182960131075,0.29106078665077484,0.19849785407725318,0.4450273722627738,0.19055118110236224,0.2623419012647896,0.672
Latvia,North,Riga,0.14642262895174707,0.465137447660659,0.5010727056019071,0.7178111587982833,0.0,0.44645669291338586,0.2541819665442677,0.0
Belgium,West,Brussels,0.2647967672926076,0.4857090842890951,0.4235995232419547,0.28755364806866945,0.5579379562043796,0.23779527559055114,0.21175030599755207,0.29600000000000004
Italy,South,Rome,0.2811980033277869,0.7007099945385035,0.20738974970202628,0.43390557939914165,0.062271897810219023,0.19055118110236224,0.1452468380252956,0.31200000000000006
Spain,South,Madrid,0.6698359876396481,0.4229018751137811,0.18712753277711558,0.1448497854077252,0.3401003649635037,0.0,0.09547123623011,0.736
Slovakia,Central,Ljubljana,0.2869027810791537,0.22210085563444382,0.2758045292014304,0.5633047210300429,0.28946167883211693,0.22677165354330708,0.09343125254997942,0.32000000000000006
Portugal,South,Lisbon,0.30235322082243876,0.21845985800109224,0.3620977353992849,0.47854077253218874,0.06569343065693434,0.14330708661417324,0.0,0.176
